النوع,الاسم,الرابط,ما يقدمه,لماذا يناسبك
ملخصات كتب (يوتيوب),Productivity Game,https://www.youtube.com/@ProductivityGame,ملخصات مرئية 8–10 دقائق لكتب الإنتاجية والقرار (Atomic Habits، Decisive، Essentialism).,مركّز وبلا حشو — يناسب من يريد الفكرة الأساسية ثم التطبيق.
ملخصات كتب (يوتيوب),Ali Abdaal,https://www.youtube.com/@aliabdaal,طبيب سابق يشرح كتب الإنتاجية والتعلم مع تطبيقه الشخصي لها.,نموذج لمهني تحليلي حوّل القراءة إلى أنظمة.
ملخصات كتب (منصة),Shortform,https://www.shortform.com/,ملخصات مطوّلة مع نقد وربط بين الكتب.,أعمق من Blinkist — يرضي المحقق دون قراءة 400 صفحة.
ملخصات كتب (منصة),Blinkist,https://www.blinkist.com/,ملخصات 15 دقيقة نصية ومسموعة لأغلب الكتب في هذه القائمة.,لفرز الكتب قبل الالتزام بقراءتها كاملة.
ملخصات كتب (عربي),أخضر,https://www.youtube.com/@Akhdar,ملخصات عربية مرئية ومسموعة لأشهر كتب التطوير والتفكير.,تسريع الاستيعاب بلغتك ومشاركتها مع فريقك.
ملخصات كتب (نشرة),Farnam Street (fs.blog),https://fs.blog/,مقالات ونماذج ذهنية وملخصات كتب في التفكير والقرار.,المرجع الأول لنماذج التفكير عند النمط 5.
مدربون/متعلمون,Scott H. Young,https://www.scotthyoung.com/blog/,مؤلف Ultralearning — مقالات ودورات عن التعلم بالممارسة.,يحوّل هوس التعلم إلى مشاريع تطبيق محددة المدة.
مدربون/متعلمون,Cal Newport,https://calnewport.com/,العمل العميق والحياة العميقة — كتب، مدونة، بودكاست.,بروفيسور تحليلي مثلك يحمي التركيز ويحد من التراكم.
مدربون/متعلمون,Brené Brown,https://brenebrown.com/,أبحاث الضعف والشجاعة والقيادة الجريئة.,الجسر الأنسب للذكاء العاطفي لمن يخشى المشاعر.
مدربون/متعلمون,James Clear,https://jamesclear.com/,نشرة 3-2-1 الأسبوعية وأدلة العادات.,أقصر مسافة من المعرفة إلى العادة.
متطورون (مجتمعات),Enneagram Institute — Type 5,https://www.enneagraminstitute.com/type-5/,الوصف الرسمي للنمط 5 مع مستويات التطور وتوصيات النمو.,قائمة 'توصيات النمو الشخصي' فيه تكمّل هذه القائمة.
متطورون (مجتمعات),Farnam Street Learning Community,https://fs.blog/membership/,مجتمع نقاش كتب ونماذج ذهنية.,بيئة آمنة للتعلم مع غيرك دون ضغط اجتماعي مرتفع.
