#,Date,Version line,Phase,Category,Type,Function / Feature,Description,Module / File,Command / CLI,PR
1,2026-08-21,AI OS v0.2,0 Foundation,Core State,Feature,Unified StateStore,"Single writer for all mutable data: atomic writes, version conflict rejection, rotating backups (last 5), audit log data/audit.jsonl. Sheet demoted to import/export.",engine/store.py,,
2,2026-08-21,AI OS v0.2,0 Foundation,Governance,Feature,Action queue + approval gate (C2),Follow-up drafts queued as PENDING_APPROVAL; approval needs SHA-256 hash of draft text; 48h expiry; idempotent.,"engine/approve.py, engine/render_approvals.py",approve A-001 --hash,
3,2026-08-21,AI OS v0.2,0 Foundation,Chief of Staff,Feature,Waiting-for rot detection,Everything awaited derived into waiting_for; >14 days escalates to a decision issue.,engine/chief_of_staff.py,,
4,2026-08-21,AI OS v0.2,0 Foundation,Chief of Staff,Feature,Daily brief + weekly review + pattern detection,"Brief engine, weekly review, pattern detector, daily inbox HTML.","engine/chief_of_staff.py, tools/daily-inbox.html",,
5,2026-08-21,AI OS v0.3,0 Foundation,Automation,Feature,Manager loop (two cycles),"Fast cycle every 15 min (waiting-for sweep) + full cycle 06:00 Riyadh (brief + dashboard), catch-up, write-on-change.",engine/manager.py,manager.py --loop,
6,2026-08-21,AI OS v0.3,0 Foundation,Core State,Enhancement,waiting_for schema v2,WAITING→OVERDUE state machine; one idempotent follow-up per overdue item with draft.,engine/manager.py,,
7,2026-08-21,AI OS v0.3,0 Foundation,Chief of Staff,Feature,decision_requests,Formal decision requests (options + deadline) for stalled projects; resolution logged with 30-day review.,engine/manager.py,,
8,2026-08-21,AI OS v0.3,0 Foundation,Chief of Staff,Feature,Change detection section,'What changed since last brief' (new / status changed / closed).,engine/chief_of_staff.py,,
9,2026-08-21,AI OS v0.3.1,0 Foundation,Clinical / Voice,Feature,Inbound voice-call processor,"Transcript → caller/intent classification → summary → StateStore (contacts, callbacks, leads) + follow-up draft; never sends.",engine/voice_call.py,voice_call.py demo A..E | ingest,
10,2026-08-21,AI OS v0.3.1,0 Foundation,Security,Security,Voice-call hard guards,No diagnosis from calls; caller speech untrusted (injection rejected + logged); data minimisation; idempotency by call ID.,engine/voice_call.py,,
11,2026-08-21,AI OS v0.4,0 Foundation,Learning,Feature,Adaptive teaching engine,Plans → graded chunks with adaptive rulings (≥85/70–84/50–69/<50) → mastery map → spaced repetition 1/3/7/14/30.,engine/learning_engine.py,,
12,2026-08-21,AI OS v0.4,0 Foundation,Learning,Feature,Review lifecycle,SCHEDULED→DUE→PRESENTED→ANSWERED→SCORED→COMPLETED; brief shows max 2 reviews/day.,engine/learning_engine.py,,
