الفئة,اسم البودكاست,المقدم,الرابط المباشر,لماذا يناسبك,نقطة بداية مقترحة
1- فهم طريقة التفكير,Hidden Brain,Shankar Vedantam (NPR),https://hiddenbrain.org/,علم السلوك والانحيازات بصيغة قصصية موثقة — عمق علمي بلا جفاف.,ابدأ بحلقات 'You 2.0'
1- فهم طريقة التفكير,You Are Not So Smart,David McRaney,https://youarenotsosmart.com/podcasts/,بودكاست مخصص للانحيازات المعرفية والتفكير النقدي مع مقابلات باحثين.,حلقات 'How Minds Change'
1- فهم طريقة التفكير,The Knowledge Project,Shane Parrish (Farnam Street),https://fs.blog/knowledge-project-podcast/,نماذج ذهنية وقرارات واتخاذ قرار تحت عدم اليقين — المفضل لدى النمط 5 التحليلي.,حلقة Annie Duke / Daniel Kahneman
2- كسر دوامة التحليل,Deep Questions,Cal Newport,https://www.thedeeplife.com/listen/,أستاذ حاسوب يجيب أسئلة المستمعين عن العمل العميق والإنتاجية بمنهج بلا ضجيج تحفيزي.,حلقات عن 'productivity dragon'
2- كسر دوامة التحليل,The Happiness Lab,Dr. Laurie Santos (Yale),https://www.pushkin.fm/podcasts/the-happiness-lab-with-dr-laurie-santos,علم النفس الإيجابي بالأدلة: الكمالية، المقارنة، وشلل الخيارات.,حلقة 'The Perfectionism Trap'
2- كسر دوامة التحليل,The Tim Ferriss Show,Tim Ferriss,https://tim.blog/podcast/,مقابلات طويلة تفكك أنظمة القرار عند أفضل المنفذين (Fear-Setting بديل للتحليل اللانهائي).,حلقة Fear-Setting + Annie Duke
3- القيادة والذكاء العاطفي,WorkLife with Adam Grant,Adam Grant (TED),https://www.ted.com/podcasts/worklife,علم النفس التنظيمي: النقد، الثقة، الفرق، وإعادة التفكير — من مؤلف Think Again.,حلقة 'How to love criticism'
3- القيادة والذكاء العاطفي,Coaching for Leaders,Dave Stachowiak,https://coachingforleaders.com/,حلقات أسبوعية عملية ومنظمة عن مهارات القيادة والملاحظات وإدارة الفرق — أسلوب هادئ يناسب SC.,حلقات Radical Candor / feedback
3- القيادة والذكاء العاطفي,Dare to Lead,Brené Brown,https://brenebrown.com/podcast-show/dare-to-lead/,الشجاعة والضعف كأدوات قيادة؛ يعالج جذر الحساسية للنقد.,حلقة 'Armored vs Daring Leadership'
4- التطبيق والإنجاز,Huberman Lab,Dr. Andrew Huberman (Stanford),https://www.hubermanlab.com/podcast,بروتوكولات علمية للتركيز والدافعية وتكوين العادات — دليل مفصّل يرضي المحقق ويدفعه للتطبيق.,حلقة 'The Science of Making & Breaking Habits'
4- التطبيق والإنجاز,The 3 Books / Atomic Habits talks,James Clear (ضيف دائم),https://jamesclear.com/articles,خلاصات قصيرة قابلة للتطبيق (نشرة 3-2-1 الأسبوعية + المقالات المسموعة).,نشرة 3-2-1 Thursday
4- التطبيق والإنجاز,فنجان (عربي),عبدالرحمن أبومالح — ثمانية,https://thmanyah.com/podcasts/fnjan,حوارات عربية طويلة مع منجزين ومفكرين — يمنحك نماذج تطبيق محلية بلغتك.,حلقات عن الإنتاجية والقرار
